startDate,endDate,year,province,pruid,aTotal,aH1N1pdm09,aH3N2,aUns,bTotal
"May 12","May 18",2019,BC,59,52,2,22,28,2
"May 12","May 18",2019,AB,48,92,4,69,19,13
"May 12","May 18",2019,SK,47,5,2,3,0,2
"May 12","May 18",2019,MB,46,18,4,12,2,7
"May 12","May 18",2019,ON,35,60,6,45,9,10
"May 12","May 18",2019,QC,24,93,0,0,93,68
"May 12","May 18",2019,NB,13,14,9,2,3,22
"May 12","May 18",2019,NS,12,0,0,0,0,1
"May 12","May 18",2019,PEI,11,0,0,0,0,1
"May 12","May 18",2019,NL,10,4,0,0,4,0
"May 12","May 18",2019,YT,60,0,0,0,0,0
"May 12","May 18",2019,N.W.T,61,0,0,0,0,0
"May 12","May 18",2019,NU,62,0,0,0,0,0
"May 12","May 18",2019,Canada,1,338,27,153,158,131
"May 05","May 11",2019,BC,59,58,3,30,25,6
"May 05","May 11",2019,AB,48,95,15,62,18,21
"May 05","May 11",2019,SK,47,8,2,5,1,0
"May 05","May 11",2019,MB,46,11,0,5,6,6
"May 05","May 11",2019,ON,35,69,9,44,16,5
"May 05","May 11",2019,QC,24,171,0,0,171,79
"May 05","May 11",2019,NB,13,26,1,0,25,23
"May 05","May 11",2019,NS,12,2,0,0,2,1
"May 05","May 11",2019,PEI,11,0,0,0,0,0
"May 05","May 11",2019,NL,10,9,0,0,9,0
"May 05","May 11",2019,YT,60,1,0,1,0,0
"May 05","May 11",2019,N.W.T,61,1,0,1,0,0
"May 05","May 11",2019,NU,62,0,0,0,0,0
"May 05","May 11",2019,Canada,1,451,30,148,273,141
"April 28","May 04",2019,BC,59,56,10,24,22,7
"April 28","May 04",2019,AB,48,96,5,69,22,21
"April 28","May 04",2019,SK,47,4,0,3,1,0
"April 28","May 04",2019,MB,46,16,4,8,4,7
"April 28","May 04",2019,ON,35,79,5,45,29,15
"April 28","May 04",2019,QC,24,152,0,0,152,65
"April 28","May 04",2019,NB,13,29,0,0,29,32
"April 28","May 04",2019,NS,12,8,0,0,8,0
"April 28","May 04",2019,PEI,11,1,1,0,0,0
"April 28","May 04",2019,NL,10,15,0,0,15,0
"April 28","May 04",2019,YT,60,5,3,2,0,0
"April 28","May 04",2019,N.W.T,61,1,0,1,0,0
"April 28","May 04",2019,NU,62,0,0,0,0,0
"April 28","May 04",2019,Canada,1,462,28,152,282,147
"April 21","April 27",2019,BC,59,97,14,46,37,7
"April 21","April 27",2019,AB,48,127,15,85,27,16
"April 21","April 27",2019,SK,47,18,1,4,13,3
"April 21","April 27",2019,MB,46,18,5,9,4,12
"April 21","April 27",2019,ON,35,134,8,79,47,24
"April 21","April 27",2019,QC,24,237,0,0,237,81
"April 21","April 27",2019,NB,13,59,0,0,59,36
"April 21","April 27",2019,NS,12,15,0,0,15,2
"April 21","April 27",2019,PEI,11,4,0,4,0,1
"April 21","April 27",2019,NL,10,30,0,0,30,0
"April 21","April 27",2019,YT,60,10,8,0,2,0
"April 21","April 27",2019,N.W.T,61,1,1,0,0,0
"April 21","April 27",2019,NU,62,0,0,0,0,0
"April 21","April 27",2019,Canada,1,750,52,227,471,182
"April 07","April 20",2019,BC,59,117,17,48,52,13
"April 07","April 20",2019,AB,48,144,10,101,33,18
"April 07","April 20",2019,SK,47,0,0,0,0,0
"April 07","April 20",2019,MB,46,12,1,6,5,5
"April 07","April 20",2019,ON,35,159,3,93,63,18
"April 07","April 20",2019,QC,24,301,0,0,301,61
"April 07","April 20",2019,NB,13,59,0,0,59,35
"April 07","April 20",2019,NS,12,21,0,0,21,1
"April 07","April 20",2019,PEI,11,2,0,2,0,0
"April 07","April 20",2019,NL,10,52,0,0,52,1
"April 07","April 20",2019,YT,60,4,0,0,4,0
"April 07","April 20",2019,N.W.T,61,1,1,0,0,0
"April 07","April 20",2019,NU,62,0,0,0,0,0
"April 07","April 20",2019,Canada,1,872,32,250,590,152
"April 07","April 13",2019,BC,59,390,78,243,69,19
"April 07","April 13",2019,AB,48,147,5,110,32,21
"April 07","April 13",2019,SK,47,0,0,0,0,0
"April 07","April 13",2019,MB,46,21,3,11,7,1
"April 07","April 13",2019,ON,35,214,10,109,95,21
"April 07","April 13",2019,QC,24,400,0,0,400,46
"April 07","April 13",2019,NB,13,50,0,0,50,42
"April 07","April 13",2019,NS,12,29,0,0,29,1
"April 07","April 13",2019,PEI,11,8,1,7,0,0
"April 07","April 13",2019,NL,10,97,0,0,97,0
"April 07","April 13",2019,YT,60,3,1,1,1,0
"April 07","April 13",2019,N.W.T,61,2,2,0,0,0
"April 07","April 13",2019,NU,62,0,0,0,0,0
"April 07","April 13",2019,Canada,1,1361,100,481,780,151
"March 31","April 06",2019,BC,59,0,0,0,0,0
"March 31","April 06",2019,AB,48,157,8,106,43,22
"March 31","April 06",2019,SK,47,14,0,9,5,6
"March 31","April 06",2019,MB,46,17,6,5,6,1
"March 31","April 06",2019,ON,35,217,12,120,85,6
"March 31","April 06",2019,QC,24,432,0,0,432,35
"March 31","April 06",2019,NB,13,73,0,0,73,50
"March 31","April 06",2019,NS,12,42,0,0,42,2
"March 31","April 06",2019,PEI,11,8,2,6,0,0
"March 31","April 06",2019,NL,10,149,0,0,149,0
"March 31","April 06",2019,YT,60,11,3,7,1,0
"March 31","April 06",2019,N.W.T,61,1,1,0,0,0
"March 31","April 06",2019,NU,62,0,0,0,0,0
"March 31","April 06",2019,Canada,1,1121,32,253,836,122
"March 24","March 30",2019,BC,59,499,59,147,293,38
"March 24","March 30",2019,AB,48,178,21,100,57,21
"March 24","March 30",2019,SK,47,13,5,3,5,12
"March 24","March 30",2019,MB,46,13,1,9,3,7
"March 24","March 30",2019,ON,35,188,21,89,78,6
"March 24","March 30",2019,QC,24,428,0,0,428,30
"March 24","March 30",2019,NB,13,101,0,0,101,49
"March 24","March 30",2019,NS,12,39,0,0,39,1
"March 24","March 30",2019,PEI,11,12,1,10,1,0
"March 24","March 30",2019,NL,10,97,0,0,97,0
"March 24","March 30",2019,YT,60,7,0,0,7,0
"March 24","March 30",2019,N.W.T,61,4,4,0,0,0
"March 24","March 30",2019,Nvt.,61,0,0,0,0,0
"March 24","March 30",2019,Canada,1,1579,112,358,1109,164
"March 17","23 2019",2019,BC,59,539,59,125,355,22
"March 17","23 2019",2019,AB,48,159,22,87,50,22
"March 17","23 2019",2019,SK,47,12,1,4,7,13
"March 17","23 2019",2019,MB,46,11,2,3,6,3
"March 17","23 2019",2019,ON,35,230,24,100,106,11
"March 17","23 2019",2019,QC,24,423,0,0,423,26
"March 17","23 2019",2019,NB,13,120,13,6,101,24
"March 17","23 2019",2019,NS,12,77,0,0,77,2
"March 17","23 2019",2019,PEI,11,14,5,9,0,0
"March 17","23 2019",2019,NL,10,78,0,0,78,1
"March 17","23 2019",2019,YT,60,0,0,0,0,0
"March 17","23 2019",2019,N.W.T,61,3,3,0,0,0
"March 17","23 2019",2019,NU,62,0,0,0,0,0
"March 17","23 2019",2019,Canada,1,1666,129,334,1203,124
"March 10","March 16",2019,BC,59,522,106,168,248,27
"March 10","March 16",2019,AB,48,119,9,58,52,20
"March 10","March 16",2019,SK,47,10,2,3,5,7
"March 10","March 16",2019,MB,46,12,3,8,1,0
"March 10","March 16",2019,ON,35,228,52,84,92,11
"March 10","March 16",2019,QC,24,499,0,0,499,17
"March 10","March 16",2019,NB,13,122,7,7,108,4
"March 10","March 16",2019,NS,12,57,0,0,57,0
"March 10","March 16",2019,PEI,11,17,6,11,0,0
"March 10","March 16",2019,NL,10,46,0,0,46,0
"March 10","March 16",2019,YT,60,0,0,0,0,0
"March 10","March 16",2019,N.W.T,61,3,3,0,0,0
"March 10","March 16",2019,NU,62,0,0,0,0,0
"March 10","March 16",2019,Canada,1,1635,188,339,1108,86
"March 03","March 09",2019,BC,59,459,143,145,171,13
"March 03","March 09",2019,AB,48,111,23,55,33,19
