startDate,endDate,week,ageGroup,totalHospitalizations
"April 21, 2019","April 27, 2019",17,0-5 mo,136
"April 21, 2019","April 27, 2019",17,6-23 mo,314
"April 21, 2019","April 27, 2019",17,2-4 yr,375
"April 21, 2019","April 27, 2019",17,5-9 yr,275
"April 14, 2019","April 20, 2019",16,0-5 mo,130
"April 14, 2019","April 20, 2019",16,6-23 mo,308
"April 14, 2019","April 20, 2019",16,2-4 yr,367
"April 14, 2019","April 20, 2019",16,5-9 yr,270
"April 7, 2019","April 13, 2019",15,0-5 mo,120
"April 7, 2019","April 13, 2019",15,6-23 mo,296
"April 7, 2019","April 13, 2019",15,2-4 yr,354
"April 7, 2019","April 13, 2019",15,5-9 yr,252
"March 31, 2019","April 6, 2019",14,0-5 mo,120
"March 31, 2019","April 6, 2019",14,6-23 mo,296
"March 31, 2019","April 6, 2019",14,2-4 yr,354
"March 31, 2019","April 6, 2019",14,5-9 yr,252
"March 24, 2019","March 30, 2019",13,0-5 mo,119
"March 24, 2019","March 30, 2019",13,6-23 mo,288
"March 24, 2019","March 30, 2019",13,2-4 yr,343
"March 24, 2019","March 30, 2019",13,5-9 yr,244
"March 17, 2019","March 23, 2019",12,0-5 mo,115
"March 17, 2019","March 23, 2019",12,6-23 mo,281
"March 17, 2019","March 23, 2019",12,2-4 yr,337
"March 17, 2019","March 23, 2019",12,5-9 yr,240
"March 10, 2019","March 16, 2019",11,0-5 mo,111
"March 10, 2019","March 16, 2019",11,6-23 mo,268
"March 10, 2019","March 16, 2019",11,2-4 yr,325
"March 10, 2019","March 16, 2019",11,5-9 yr,235
"March 3, 2019","March 9, 2019",10,0-5 mo,107
"March 3, 2019","March 9, 2019",10,6-23 mo,262
"March 3, 2019","March 9, 2019",10,2-4 yr,318
"March 3, 2019","March 9, 2019",10,5-9 yr,227
"February 24, 2019","March 2, 2019",9,0-5 mo,101
"February 24, 2019","March 2, 2019",9,6-23 mo,250
"February 24, 2019","March 2, 2019",9,2-4 yr,310
"February 24, 2019","March 2, 2019",9,5-9 yr,212
"February 17, 2019","February 23, 2019",8,0-5 mo,94
"February 17, 2019","February 23, 2019",8,6-23 mo,238
"February 17, 2019","February 23, 2019",8,2-4 yr,305
"February 17, 2019","February 23, 2019",8,5-9 yr,204
"February 10, 2019","February 16, 2019",7,0-5 mo,89
"February 10, 2019","February 16, 2019",7,6-23 mo,231
"February 10, 2019","February 16, 2019",7,2-4 yr,287
"February 10, 2019","February 16, 2019",7,5-9 yr,196
"February 3, 2019","February 9, 2019",6,0-5 mo,90
"February 3, 2019","February 9, 2019",6,6-23 mo,222
"February 3, 2019","February 9, 2019",6,2-4 yr,273
"February 3, 2019","February 9, 2019",6,5-9 yr,186
"January 27, 2019","February 2, 2019",5,0-5 mo,84
"January 27, 2019","February 2, 2019",5,6-23 mo,219
"January 27, 2019","February 2, 2019",5,2-4 yr,254
"January 27, 2019","February 2, 2019",5,5-9 yr,178
"January 20, 2019","January 26, 2019",4,0-5 mo,78
"January 20, 2019","January 26, 2019",4,6-23 mo,203
"January 20, 2019","January 26, 2019",4,2-4 yr,238
"January 20, 2019","January 26, 2019",4,5-9 yr,166
"January 13, 2019","January 19, 2019",3,0-5 mo,73
"January 13, 2019","January 19, 2019",3,6-23 mo,184
"January 13, 2019","January 19, 2019",3,2-4 yr,218
"January 13, 2019","January 19, 2019",3,5-9 yr,149
"January 6, 2019","January 12, 2019",2,0-5 mo,64
"January 6, 2019","January 12, 2019",2,6-23 mo,171
"January 6, 2019","January 12, 2019",2,2-4 yr,192
"January 6, 2019","January 12, 2019",2,5-9 yr,129
"December 30, 2018","January 5, 2019",1,0-5 mo,53
"December 30, 2018","January 5, 2019",1,6-23 mo,147
"December 30, 2018","January 5, 2019",1,2-4 yr,177
"December 30, 2018","January 5, 2019",1,5-9 yr,121
"December 16, 2018","December 29, 2018",51-52,0-5 mo,37
"December 16, 2018","December 29, 2018",51-52,6-23 mo,105
"December 16, 2018","December 29, 2018",51-52,2-4 yr,139
"December 16, 2018","December 29, 2018",51-52,5-9 yr,98
"December 9, 2018","December 15, 2018",50,0-5 mo,24
"December 9, 2018","December 15, 2018",50,6-23 mo,73
"December 9, 2018","December 15, 2018",50,2-4 yr,88
"December 9, 2018","December 15, 2018",50,5-9 yr,71
"December 2, 2018","December 8, 2018",49,0-5 mo,20
"December 2, 2018","December 8, 2018",49,6-23 mo,62
"December 2, 2018","December 8, 2018",49,2-4 yr,65
"December 2, 2018","December 8, 2018",49,5-9 yr,61
"November 25, 2018","December 1, 2018",48,0-5 mo,17
"November 25, 2018","December 1, 2018",48,6-23 mo,51
"November 25, 2018","December 1, 2018",48,2-4 yr,53
"November 25, 2018","December 1, 2018",48,5-9 yr,54
"November 18, 2018","November 24, 2018",47,0-5 mo,14
"November 18, 2018","November 24, 2018",47,6-23 mo,39
"November 18, 2018","November 24, 2018",47,2-4 yr,40
"November 18, 2018","November 24, 2018",47,5-9 yr,43
"November 11, 2018","November 17, 2018",46,0-5 mo,11
"November 11, 2018","November 17, 2018",46,6-23 mo,30
"November 11, 2018","November 17, 2018",46,2-4 yr,29
"November 11, 2018","November 17, 2018",46,5-9 yr,32
